category,fact_so_far,predicted_remaining,total_forecast
MA002,22444983.0,385341.625,22830324.625
MA004,22223011.0,385341.59375,22608352.59375
MA005,22657381.0,385341.59375,23042722.59375
MA007,21739428.0,385341.59375,22124769.59375
MA009,21813791.0,385341.59375,22199132.59375
MA010,22690395.0,385341.59375,23075736.59375
MA011,21968052.0,385341.59375,22353393.59375
MA014,22511350.0,385341.59375,22896691.59375
MA015,22889736.0,385341.625,23275077.625
MA017,21874328.0,385341.625,22259669.625
MA019,21911509.0,385341.59375,22296850.59375
MA020,22544824.0,385341.625,22930165.625
MA021,22193829.0,385341.59375,22579170.59375
MA022,22363179.0,385341.625,22748520.625
MA025,21903539.0,385341.59375,22288880.59375
MA026,22104533.0,385341.59375,22489874.59375
MA029,21943983.0,385341.59375,22329324.59375
MA030,21829527.0,385341.65625,22214868.65625
MA031,22288597.0,385341.59375,22673938.59375
MA032,22657622.0,385341.59375,23042963.59375
MA033,22715025.0,385341.59375,23100366.59375
MA037,22606131.0,385341.625,22991472.625
MA039,22300663.0,385341.59375,22686004.59375
MA040,22652922.0,385341.59375,23038263.59375
MA041,21642150.0,385341.625,22027491.625
MA042,21620103.0,385341.65625,22005444.65625
MA043,22202132.0,385341.59375,22587473.59375
MA044,22117432.0,385341.59375,22502773.59375
MA045,21527496.0,385341.625,21912837.625
MA046,22074140.0,385341.59375,22459481.59375
MA047,21752384.0,385341.59375,22137725.59375
MA048,22101763.0,385341.625,22487104.625
MA049,22257495.0,385341.59375,22642836.59375
MA050,21945766.0,385341.625,22331107.625
MA051,22441378.0,385341.59375,22826719.59375
MA052,22196834.0,385341.625,22582175.625
MA053,22511992.0,385341.59375,22897333.59375
MA054,22397601.0,385341.59375,22782942.59375
MA055,21837355.0,385341.59375,22222696.59375
MA056,21828912.0,385341.625,22214253.625
MA057,22322863.0,385341.59375,22708204.59375
MA058,22228088.0,385341.59375,22613429.59375
MA059,22791606.0,385341.59375,23176947.59375
MA061,22042124.0,385341.625,22427465.625
MA062,22768301.0,385341.625,23153642.625
MA063,22195137.0,385341.59375,22580478.59375
MA064,22795168.0,385341.65625,23180509.65625
MA065,21703274.0,385341.625,22088615.625
MA066,22009409.0,385341.59375,22394750.59375
MA067,22989721.0,385341.59375,23375062.59375
MA068,22532536.0,385341.59375,22917877.59375
MA069,22136313.0,385341.625,22521654.625
MA070,22212812.0,385341.59375,22598153.59375
MA071,22282977.0,385341.59375,22668318.59375
MA072,21495176.0,385341.59375,21880517.59375
MA073,21828773.0,385341.59375,22214114.59375
MA076,22643127.0,385341.625,23028468.625
MA077,21965776.0,385341.625,22351117.625
MA078,22120719.0,385341.59375,22506060.59375
