date;category;sales
2022-02-01;MA002;34255
2022-02-01;MA004;32951
2022-02-01;MA005;17523
2022-02-01;MA007;42525
2022-02-01;MA009;40383
2022-02-01;MA010;43140
2022-02-01;MA011;32238
2022-02-01;MA014;43865
2022-02-01;MA015;288
2022-02-01;MA017;9058
2022-02-01;MA019;48563
2022-02-01;MA020;31163
2022-02-01;MA021;37430
2022-02-01;MA022;21213
2022-02-01;MA025;14634
2022-02-01;MA026;37903
2022-02-01;MA029;4634
2022-02-01;MA030;49679
2022-02-01;MA031;14236
2022-02-01;MA032;25353
2022-02-01;MA033;42833
2022-02-01;MA037;15840
2022-02-01;MA039;11216
2022-02-01;MA040;41043
2022-02-01;MA041;17983
2022-02-01;MA042;47966
2022-02-01;MA043;17005
2022-02-01;MA044;49317
2022-02-01;MA045;958
2022-02-01;MA046;36522
2022-02-01;MA047;46548
2022-02-01;MA048;36087
2022-02-01;MA049;14718
2022-02-01;MA050;38450
2022-02-01;MA051;34986
2022-02-01;MA052;41122
2022-02-01;MA053;29196
2022-02-01;MA054;22986
2022-02-01;MA055;4060
2022-02-01;MA056;39444
2022-02-01;MA057;11838
2022-02-01;MA058;11025
2022-02-01;MA059;45408
2022-02-01;MA061;27913
2022-02-01;MA062;11584
2022-02-01;MA063;14057
2022-02-01;MA064;36294
2022-02-01;MA065;19856
2022-02-01;MA066;24561
2022-02-01;MA067;10948
2022-02-01;MA068;23249
2022-02-01;MA069;9756
2022-02-01;MA070;24365
2022-02-01;MA071;15997
2022-02-01;MA072;16183
2022-02-01;MA073;591
2022-02-01;MA076;12951
2022-02-01;MA077;36245
2022-02-01;MA078;8806
2022-02-02;MA002;43720
2022-02-02;MA004;23373
2022-02-02;MA005;20628
2022-02-02;MA007;10297
2022-02-02;MA009;41837
2022-02-02;MA010;25772
2022-02-02;MA011;47712
2022-02-02;MA014;5606
2022-02-02;MA015;17357
2022-02-02;MA017;47052
2022-02-02;MA019;22680
2022-02-02;MA020;49318
2022-02-02;MA021;18758
2022-02-02;MA022;6208
2022-02-02;MA025;307
2022-02-02;MA026;19453
2022-02-02;MA029;36145
